,instrument_token,tradingsymbol,name,instrument_type,segment,exchange
94733,779777,543BR24-SG,,EQ,NSE,NSE
94734,5308417,544AP24-SG,,EQ,NSE,NSE
94735,5606401,544KL24-SG,,EQ,NSE,NSE
94736,5661697,544TN23-SG,,EQ,NSE,NSE
94737,5191937,545AP24-SG,,EQ,NSE,NSE
94738,5637633,545RJ25-SG,,EQ,NSE,NSE
94739,515073,546PY25-SG,,EQ,NSE,NSE
94740,5659905,546TN24-SG,,EQ,NSE,NSE
94741,648449,547AS24-SG,,EQ,NSE,NSE
94742,5645057,547RJ24-SG,,EQ,NSE,NSE
94743,5708801,549RJ25-SG,,EQ,NSE,NSE
94744,150273,54BR24-SG,,EQ,NSE,NSE
94745,696833,54KL24-SG,,EQ,NSE,NSE
94746,5746177,552AP24-SG,,EQ,NSE,NSE
94747,649217,552MP24-SG,,EQ,NSE,NSE
94748,5610753,553KL25-SG,,EQ,NSE,NSE
94749,819713,563GS2026-GS,,EQ,NSE,NSE
94750,5608193,565KL24-SG,,EQ,NSE,NSE
94751,5645313,565RJ25-SG,,EQ,NSE,NSE
94752,1167873,565TN25-SG,,EQ,NSE,NSE
94753,39681,568MH24-SG,,EQ,NSE,NSE
94754,5542145,56HR24-SG,,EQ,NSE,NSE
94755,3073,56MH24-SG,,EQ,NSE,NSE
94756,106497,56RJ24-SG,,EQ,NSE,NSE
94757,482817,572BR26-SG,,EQ,NSE,NSE
94758,1713921,574GS2026-GS,,EQ,NSE,NSE
94759,72961,575AP24-SG,,EQ,NSE,NSE
94760,5613569,575KA25-SG,,EQ,NSE,NSE
94761,214017,575PY26-SG,,EQ,NSE,NSE
94762,5646081,575RJ25-SG,,EQ,NSE,NSE
94763,5658881,575TN25-SG,,EQ,NSE,NSE
94764,5661953,576TN24-SG,,EQ,NSE,NSE
94765,1999105,577GJ25-SG,,EQ,NSE,NSE
94766,2050049,577GJ25A-SG,,EQ,NSE,NSE
94767,5706753,577GS2030-GS,,EQ,NSE,NSE
94768,5606913,577KL25-SG,,EQ,NSE,NSE
94769,4827393,579GS2030-GS,,EQ,NSE,NSE
94770,73729,579KL24-SG,,EQ,NSE,NSE
94771,16129,57BR24-SG,,EQ,NSE,NSE
94772,5613313,57KA26-SG,,EQ,NSE,NSE
94773,20481,57MH24-SG,,EQ,NSE,NSE
94774,495617,582BR26-SG,,EQ,NSE,NSE
94775,466945,582RJ27-SG,,EQ,NSE,NSE
94776,5681409,582TS24-SG,,EQ,NSE,NSE
94777,343297,585GS2030-GS,,EQ,NSE,NSE
94778,1759233,587GS2022-GS,,EQ,NSE,NSE
94779,435969,588CG26-SG,,EQ,NSE,NSE
94780,780545,588GJ25-SG,,EQ,NSE,NSE
94781,5298433,589AP25-SG,,EQ,NSE,NSE
94782,5735425,589RJ25-SG,,EQ,NSE,NSE
94783,2050305,58MH25-SG,,EQ,NSE,NSE
94784,5643777,58RJ25-SG,,EQ,NSE,NSE
94785,5609217,591KL25-SG,,EQ,NSE,NSE
94786,370945,593CG26-SG,,EQ,NSE,NSE
94787,682241,593RJ25-SG,,EQ,NSE,NSE
94788,108289,594CG25-SG,,EQ,NSE,NSE
94789,817665,594RJ25-SG,,EQ,NSE,NSE
94790,5662977,595TN25-SG,,EQ,NSE,NSE
94791,1505281,596PY26-SG,,EQ,NSE,NSE
94792,483073,597CG27-SG,,EQ,NSE,NSE
94793,1758977,597GS2025-GS,,EQ,NSE,NSE
94794,1414401,599MP26-SG,,EQ,NSE,NSE
94795,5679105,59TS25-SG,,EQ,NSE,NSE
94796,113921,5PAISA,5PAISA CAPITAL,EQ,NSE,NSE
94797,1757697,601GS2028-GS,,EQ,NSE,NSE
94798,5633025,601OR22-SG,,EQ,NSE,NSE
94799,1534465,601RJ26-SG,,EQ,NSE,NSE
94800,5649665,603RJ25-SG,,EQ,NSE,NSE
94801,107009,604AS25-SG,,EQ,NSE,NSE
94802,1801729,604AS26-SG,,EQ,NSE,NSE
94803,1589505,604GJ26-SG,,EQ,NSE,NSE
94804,5735169,604KL25-SG,,EQ,NSE,NSE
94805,15873,605AS25-SG,,EQ,NSE,NSE
94806,1169921,605RJ26-SG,,EQ,NSE,NSE
94807,1788673,607RJ26-SG,,EQ,NSE,NSE
94808,1613825,609AS26-SG,,EQ,NSE,NSE
94809,5614081,609KA28-SG,,EQ,NSE,NSE
94810,5623809,609MP22-SG,,EQ,NSE,NSE
94811,544001,609RJ26-SG,,EQ,NSE,NSE
94812,1283073,610GS2031-GS,,EQ,NSE,NSE
94813,5613825,612KA27-SG,,EQ,NSE,NSE
94814,1758209,613GS2028-GS,,EQ,NSE,NSE
94815,900097,613RJ26-SG,,EQ,NSE,NSE
94816,5644033,616RJ24-SG,,EQ,NSE,NSE
94817,1758721,617GS2023-GS,,EQ,NSE,NSE
94818,437505,617KL27-SG,,EQ,NSE,NSE
94819,5681665,617TS25-SG,,EQ,NSE,NSE
94820,782849,618GJ26-SG,,EQ,NSE,NSE
94821,2020353,618GJ26A-SG,,EQ,NSE,NSE
94822,3648257,618GS2024-GS,,EQ,NSE,NSE
94823,543489,619AS26-SG,,EQ,NSE,NSE
94824,4857089,619GS2034-GS,,EQ,NSE,NSE
94825,515329,61CG27-SG,,EQ,NSE,NSE
94826,931329,61RJ26-SG,,EQ,NSE,NSE
94827,214273,61RJ27-SG,,EQ,NSE,NSE
94828,5624321,620MP23-SG,,EQ,NSE,NSE
94829,569345,621AS26-SG,,EQ,NSE,NSE
94830,243969,622GS2035-GS,,EQ,NSE,NSE
94831,348417,622KL27-SG,,EQ,NSE,NSE
94832,1504513,623RJ27-SG,,EQ,NSE,NSE
94833,5539841,624HR26-SG,,EQ,NSE,NSE
94834,1364481,624MH26-SG,,EQ,NSE,NSE
94835,5618433,624MH28-SG,,EQ,NSE,NSE
94836,1244929,624RJ26-SG,,EQ,NSE,NSE
94837,5679873,624TS26-SG,,EQ,NSE,NSE
94838,1337857,625AS26-SG,,EQ,NSE,NSE
94839,5605377,625RJ22-SG,,EQ,NSE,NSE
94840,1299969,627RJ26-SG,,EQ,NSE,NSE
94841,1414145,628GJ27-SG,,EQ,NSE,NSE
94842,5633793,628OR22-SG,,EQ,NSE,NSE
94843,5411841,629HP26-SG,,EQ,NSE,NSE
94844,1286401,629RJ26-SG,,EQ,NSE,NSE
94845,1920001,629RJ26A-SG,,EQ,NSE,NSE
94846,2050561,62RJ26-SG,,EQ,NSE,NSE
94847,5701633,62RJ27-SG,,EQ,NSE,NSE
94848,5644545,630RJ23-SG,,EQ,NSE,NSE
94849,5709313,632KA28-SG,,EQ,NSE,NSE
94850,1275393,633AS26-SG,,EQ,NSE,NSE
94851,1918721,633AS26A-SG,,EQ,NSE,NSE
94852,5666561,633TN30-SG,,EQ,NSE,NSE
94853,1614593,634RJ27-SG,,EQ,NSE,NSE
94854,5266433,635AP27-SG,,EQ,NSE,NSE
94855,5389313,635BR23-SG,,EQ,NSE,NSE
94856,310273,635MH28-SG,,EQ,NSE,NSE
94857,5700353,636HP28-SG,,EQ,NSE,NSE
94858,1399553,638MH27-SG,,EQ,NSE,NSE
94859,5541633,639AP26-SG,,EQ,NSE,NSE
94860,934401,639BR27-SG,,EQ,NSE,NSE
94861,1757953,63GS2023-GS,,EQ,NSE,NSE
94862,3038209,63MOONS,63 MOONS TECHNOLOGIES,EQ,NSE,NSE
94863,607233,63PY26-SG,,EQ,NSE,NSE
94864,1831169,63PY27-SG,,EQ,NSE,NSE
94865,5386241,641GA30-SG,,EQ,NSE,NSE
94866,5658369,641TN30-SG,,EQ,NSE,NSE
94867,218113,642GA30-SG,,EQ,NSE,NSE
94868,5611265,642MN30-SG,,EQ,NSE,NSE
94869,5708289,642PN30-SG,,EQ,NSE,NSE
94870,217345,642UP30-SG,,EQ,NSE,NSE
94871,249857,643AP30-SG,,EQ,NSE,NSE
94872,699649,643AS26-SG,,EQ,NSE,NSE
94873,1385985,643MH27-SG,,EQ,NSE,NSE
94874,2013953,643RJ27-SG,,EQ,NSE,NSE
94875,5747457,643UK30-SG,,EQ,NSE,NSE
94876,5273857,644GJ29-SG,,EQ,NSE,NSE
94877,5718273,644GJ29A-SG,,EQ,NSE,NSE
94878,5719553,644MH28-SG,,EQ,NSE,NSE
